symbol,ipo_date,ipo_years,last_report,3yr_grow_rate,grow_rate,grow,share_grow,start_bvps,now_bvps,eps,roe,debt_ratio,cash_ratio,earn_ttm,assets,equity,shares,name
002189,2007-12-03,13.54,2021-03-31,0.219,0.108,5.287,1.0,1.099,5.81,0.076,0.037,0.53,0.163,0.201,32.423,15.254,2.625,中光学
002190,2007-12-03,13.54,2020-12-31,0.0,0.143,8.53,2.62,2.298,7.479,0.372,0.05,0.244,0.047,1.334,35.482,26.829,3.587,成飞集成
002191,2007-12-05,13.54,2020-12-31,0.093,0.178,13.708,5.38,2.046,5.217,0.59,0.177,0.151,0.166,8.638,90.068,76.427,14.649,劲嘉股份
002192,2007-12-05,13.54,2020-12-31,0.0,0.083,3.611,3.0,1.965,2.365,0.081,-0.017,0.396,0.033,0.209,10.17,6.14,2.597,融捷股份
002193,2007-12-07,13.53,2020-09-30,0.032,0.125,6.365,2.21,3.704,10.668,0.087,0.042,0.45,0.028,0.229,50.779,27.92,2.617,如意集团
002194,2007-12-07,13.53,2020-09-30,0.008,0.095,4.155,3.12,2.284,3.042,0.313,0.066,0.187,0.46,2.115,25.32,20.573,6.763,武汉凡谷
002195,2007-12-12,13.52,2020-09-30,0.116,0.259,37.675,28.01,1.345,1.809,0.072,0.121,0.06,0.215,4.11,110.226,103.587,57.248,二三四五
002196,2007-12-12,13.52,2020-09-30,0.0,0.13,6.823,2.55,1.638,4.383,-0.167,0.063,0.278,0.046,-0.783,28.456,20.544,4.687,方正电机
002197,2007-12-18,13.5,2020-12-31,0.0,0.173,12.79,3.84,1.412,4.703,0.022,0.077,0.627,0.033,0.116,64.908,24.227,5.152,证通电子
002198,2007-12-18,13.5,2020-12-31,0.0,0.128,6.879,5.53,1.081,1.346,0.039,0.054,0.155,0.145,0.198,8.084,6.83,5.075,嘉应制药
002199,2007-12-21,13.49,2020-09-30,0.0,0.083,3.511,2.54,1.19,1.648,0.026,-0.005,0.185,0.17,0.062,4.921,4.012,2.434,东晶电子
002200,2007-12-21,13.49,2020-09-30,0.0,0.017,1.306,1.92,2.596,1.766,-0.847,-0.053,0.904,0.046,-1.559,33.817,3.252,1.841,ST云投
002201,2007-12-26,13.48,2020-09-30,0.021,0.104,4.727,3.77,2.284,2.864,0.044,0.042,0.629,0.061,0.148,25.665,9.521,3.325,九鼎新材
002202,2007-12-26,13.48,2020-12-31,0.092,0.231,27.712,6.09,1.818,8.278,0.702,0.136,0.68,0.071,29.655,1091.382,349.733,42.251,金风科技
